"","Date","Inflation","Change"
"1",1551,0.087774553,0
"4",1554,0.065635262,0
"6",1556,0.370390325,0.559644017107759
"7",1557,0.105408239,-0.736963555170678
"9",1559,0.108753055,0
"10",1560,0.039139107,0
"11",1561,0.067998606,0
"13",1563,0.014971713,0
"14",1564,0.037056992,0
"15",1565,0.03573284,0
"20",1570,0.08702159,0
"22",1572,0.018878378,0
"23",1573,0.014840802,0
"25",1575,0.058406384,0
"26",1576,0.065483224,0
"27",1577,0.174787753,0.0242683309888969
"30",1580,0.049091123,0
"31",1581,0.014627626,0
"34",1584,0.027806916,0.222222222222222
"35",1585,0.014949313,0.606068181818182
"36",1586,0.041457159,-0.0943438946042707
"37",1587,0.394894764,-0.59825
"39",1589,0.023090974,0.3
"40",1590,0.118680128,-0.102576923076923
"41",1591,0.159072816,-0.199974285346933
"44",1594,0.070190942,0.111111111111111
"45",1595,0.351711458,0.0236083333333332
"47",1597,0.356479933,-0.0755147013393561
"51",1601,0.167768848,-0.299642058407837
"55",1605,0.108920398,-0.128518072289157
"56",1606,0.044666106,0.177422476601275
"58",1608,0.129211991,0.270438679245283
"59",1609,0.102548133,-0.341580868293154
"62",1612,0.131752846,0.0627885715335811
"63",1613,0.047687423,0.121032792412702
"64",1614,0.032777497,-0.207582529026387
"66",1616,0.001818133,0.0508966303942658
"72",1622,0.134541405,0.261976794300829
"73",1623,0.12425129,-0.290182711849652
"76",1626,0.033697128,-0.34259375
"79",1629,0.094429089,0.237038888888889
"80",1630,0.166658748,0.00897753147076121
"81",1631,0.146238919,0.0860566351828937
"84",1634,0.08140636,0.0460731707317074
"87",1637,0.047217309,0.234940112861616
"88",1638,0.138510871,-0.251221038074437
"91",1641,0.073252077,-0.12974504787176
"95",1645,0.080993323,-0.0481033407388696
"97",1647,0.172207773,0.338028169014085
"98",1648,0.154445496,-0.112278947368421
"99",1649,0.066229348,0.0909098993875505
"100",1650,0.021917884,-0.262684068793291
"106",1656,0.05273029,0.635267128424582
"107",1657,0.094834685,0.223908022071328
"108",1658,0.055551152,0.345417644569274
"109",1659,0.083565128,-0.421767649687221
"112",1662,0.186741155,-0.479106157456263
"116",1666,0.077938966,-0.230232342581722
"118",1668,0.043350174,0.369819850674704
"120",1670,0.008745853,0.187855160156208
"121",1671,0.031186862,-0.101096580205272
"123",1673,0.050268149,0.607614648662505
"124",1674,0.111083435,-0.0369355895746863
"125",1675,0.063102421,-0.342540408182257
"128",1678,0.069242783,0.109503392546626
"132",1682,0.05820624,0.0352428242703161
"135",1685,0.142084198,-0.393325001157247
"137",1687,0.037577657,-0.267336942510957
"142",1692,0.099404003,0.235085265479584
"143",1693,0.202966055,0.25593449192038
"144",1694,0.062870146,-0.400242760534073
"146",1696,0.080647584,-0.0878168074699865
"148",1698,0.106773656,-0.0209390862944163
"149",1699,0.007820403,-0.324404118960179
"154",1704,0.065315103,-0.310970222938211
"156",1706,0.063857126,0.0331957652969675
"158",1708,0.075322453,0.79702712746191
"159",1709,0.220686411,0.437652508375036
"160",1710,0.144902778,-0.352981789936998
"161",1711,0.114025743,-0.0927482103952689
"164",1714,0.069051488,-0.363621486724216
"165",1715,0.017323816,0.400064288010286
"169",1719,0.059126576,0.260004792715073
"170",1720,0.042706753,0.000126790921769847
"174",1724,0.121883537,0.286700840096825
"175",1725,0.035664224,0.0532285730094615
"176",1726,0.044269266,-0.223850801155766
"178",1728,0.088905219,-0.00239137300906921
"179",1729,0.049317101,-0.316689280868385
"182",1732,0.007245742,0.00879584835957448
"185",1735,0.021236719,0.0670739549839227
"186",1736,0.018867047,-0.189055625866329
"187",1737,0.077945493,-0.0290576694411413
"190",1740,0.177314074,0.37931413497472
"191",1741,0.105584686,-0.469360108375169
"195",1745,0.019267769,0.413629501833082
"196",1746,0.12501148,0.0690312738367657
"198",1748,0.043533454,0.0593773165307637
"199",1749,0.01670314,-0.0631866209502486
"202",1752,0.047044919,-0.0099049582045118
"204",1754,0.051266088,-0.218452452693745
"206",1756,0.041552891,0.642105263157895
"207",1757,0.21758772,-0.156330128205128
"212",1762,0.039076073,0.0682803973695258
"213",1763,0.026644339,0.242043222003929
"214",1764,0.088573353,0.0312137509227037
"215",1765,0.035046463,-0.0195316494529095
"216",1766,0.012207959,0.345327492699208
"217",1767,0.057540396,-0.00267462593999548
"221",1771,0.085436358,0.147989300866998
"222",1772,0.107100323,0.109147149801149
"224",1774,0.009344443,0.141271320341936
"228",1778,0.040310759,-0.256177747217328
"231",1781,0.041083099,-0.0343497649752922
"233",1783,0.018181255,-0.0607771119273149
"237",1787,0.029152181,0.186149162861492
"238",1788,0.028292646,0.0293853458231745
"239",1789,0.056046248,0.173481259868695
"240",1790,0.034448455,-0.0964742541611385
"243",1793,0.071087203,0.0978727918943291
"244",1794,0.024792405,0.131148531117124
"245",1795,0.187370248,0.482427569120364
"246",1796,0.048011069,-0.127442081604426
"249",1799,0.136946636,0.546180211057996
"250",1800,0.342123444,0.536021583782996
"251",1801,0.117410262,-0.12330880607643
"254",1804,0.032346415,0.265803092687278
"255",1805,0.161950475,0.19827939369111
"258",1808,0.03435047,0.13029702970297
"259",1809,0.096880474,0.219341275402943
"260",1810,0.031495124,0.0318965517241379
"262",1812,0.131931962,0.186307053941909
"263",1813,0.024503566,-0.196730791652093
"267",1817,0.135425708,0.064601186552406
"268",1818,0.00262219,-0.114035087719298
"273",1823,0.068024091,0.194625719769674
"274",1824,0.085511994,0.196979434447301
"275",1825,0.173530243,0.0738255033557046
"281",1831,0.099488355,0.0297542043984474
"285",1835,0.016821046,-0.14790127904882
"286",1836,0.109906748,0.228752642706131
"287",1837,0.024548852,0.14762560220234
"288",1838,0.006845881,0.157421289355322
"289",1839,0.073045778,0.0971502590673575
"290",1840,0.018217419,-0.0613931523022431
"295",1845,0.048580921,-0.00488917861799225
"296",1846,0.03984033,0.072879135276777
"297",1847,0.120340778,0.270035109143642
"303",1853,0.098765426,0.329177057356609
"304",1854,0.146067419,0.360225140712946
"305",1855,0.029411754,0.0317241379310344
"310",1860,0.033333321,0.214123006833713
"311",1861,0.021505395,0.0393996247654784
"315",1865,0.011235951,0.0223880597014925
"316",1866,0.055555563,0.194890510948905
"317",1867,0.063157872,0.31337813072694
"321",1871,0.010526312,0.232104121475054
"322",1872,0.041666652,0.00352112676056346
"323",1873,0.040000011,0.031578947368421
"330",1880,0.032967021,0.0301624129930392
"332",1882,0.010752684,-0.00660792951541856
"338",1888,0.011627903,-0.0460122699386503
"339",1889,0.011494277,-0.0385852090032156
"341",1891,0.011363632,0.189328190292511
"347",1897,0.023529404,0.152671755725191
"349",1899,0.011494277,-0.241176470588235
"350",1900,0.045454529,0.0120155038759689
"353",1903,0.010869561,-0.0427046263345196
"357",1907,0.010752684,0.0848056537102473
"359",1909,0.01063832,0.1284375
"360",1910,0.010526312,-0.119357518692883
"362",1912,0.031249989,0.0974842767295596
"365",1915,0.220668811,0.517428571428571
"366",1916,0.222222229,0.101487478817548
"367",1917,0.121212113,0.297435897435898
"368",1918,0.189189193,-0.0395256916996047
"369",1919,0.022739622,-0.0109739368998631
"370",1920,0.177763556,0.119278779472954
"374",1924,0.016964512,0.16824644549763
"384",1934,0.00692584,-0.0814479638009049
"385",1935,0.027531828,0.0935960591133002
"386",1936,0.027903621,0.391891891891892
"387",1937,0.053194936,0.294498381877023
"389",1939,0.122744893,-0.235147634293846
"390",1940,0.12628439,0.958139534883721
"391",1941,0.020922009,0.475059382422803
"394",1944,0.016527454,-0.0958452722063037
"395",1945,0.007637697,-0.0318491522738076
"397",1947,0.037000902,0.1287284144427
"398",1948,0.049180325,0.251738525730181
"399",1949,0.034926465,0.106666666666667
