"","Date","CPI","Gold"
"1",1257,0.4414265,0.889
"2",1258,0.475071,0.889
"3",1259,0.475071,0.889
"4",1260,0.475071,0.889
"5",1261,0.475071,0.889
"6",1262,0.475071,0.889
"7",1263,0.3292575,0.889
"8",1264,0.3343395,0.889
"9",1265,0.3222549,1.067
"10",1266,0.3343395,1.067
"11",1267,0.3343395,1.067
"12",1268,0.281973,1.067
"13",1269,0.3343395,1.067
"14",1270,0.3689866,1.067
"15",1271,0.3947618,1.067
"16",1272,0.5235784,1.067
"17",1273,0.3947623,1.067
"18",1274,0.3826338,1.067
"19",1275,0.4027827,1.067
"20",1276,0.386644,1.067
"21",1277,0.3906542,1.067
"22",1278,0.4148134,1.067
"23",1279,0.3786236,1.067
"24",1280,0.3786236,1.067
"25",1281,0.3746134,1.067
"26",1282,0.4189214,1.067
"27",1283,0.4470908,1.067
"28",1284,0.4832806,1.067
"29",1285,0.3343155,1.067
"30",1286,0.3664951,1.067
"31",1287,0.3664951,1.067
"32",1288,0.2900075,1.067
"33",1289,0.277879,1.067
"34",1290,0.3221871,1.067
"35",1291,0.4269419,1.067
"36",1292,0.386644,1.067
"37",1293,0.3746134,1.067
"38",1294,0.4430806,1.067
"39",1295,0.5275886,1.067
"40",1296,0.4189214,1.067
"41",1297,0.3746134,1.067
"42",1298,0.4269419,1.067
"43",1299,0.386644,1.067
"44",1300,0.4551112,1.067
"45",1301,0.3584747,1.067
"46",1302,0.3746134,1.067
"47",1303,0.3584747,1.067
"48",1304,0.3786236,1.067
"49",1305,0.3906542,1.067
"50",1306,0.4027827,1.067
"51",1307,0.3786236,1.067
"52",1308,0.4229316,1.067
"53",1309,0.4792704,1.067
"54",1310,0.5437273,1.067
"55",1311,0.4954091,1.067
"56",1312,0.4349623,1.067
"57",1313,0.4067929,1.067
"58",1314,0.451101,1.067
"59",1315,0.5316967,1.067
"60",1316,0.8700224,1.067
"61",1317,0.8659144,1.067
"62",1318,0.6203128,1.067
"63",1319,0.4792704,1.067
"64",1320,0.4269419,1.067
"65",1321,0.4873886,1.067
"66",1322,0.5678865,1.067
"67",1323,0.6646208,1.067
"68",1324,0.5518456,1.067
"69",1325,0.5115478,1.067
"70",1326,0.4994193,1.067
"71",1327,0.386644,1.067
"72",1328,0.386644,1.067
"73",1329,0.4792704,1.067
"74",1330,0.4832806,1.067
"75",1331,0.5397171,1.067
"76",1332,0.5275886,1.067
"77",1333,0.4470908,1.067
"78",1334,0.3987725,1.067
"79",1335,0.386644,1.067
"80",1336,0.4067929,1.067
"81",1337,0.4470908,1.067
"82",1338,0.342336,1.067
"83",1339,0.3181768,1.067
"84",1340,0.386644,1.067
"85",1341,0.3463462,1.067
"86",1342,0.342336,1.067
"87",1343,0.3383257,1.333
"88",1344,0.3906542,1.17
"89",1345,0.3947623,1.17
"90",1346,0.3544644,1.244
