"","Date","Inflation","Change"
"1",1901,0,0.024660912
"2",1902,0,0.005706134
"3",1903,0.010869561,0.02673147
"4",1904,0,0.004469274
"5",1905,0,-0.016580311
"6",1906,0,-0.002932551
"7",1907,0.010752684,0.018404908
"8",1908,0,0.043895748
"9",1909,0.01063832,0.007832898
"10",1910,0.010526312,-0.011124845
"11",1911,0,0.023399015
"12",1912,0.031249989,-0.012834225
"13",1913,-0.010101007,0
"14",1914,-1.25603e-07,-0.002739726
"15",1915,0.220668811,0.022485207
"16",1916,0.222222229,0.006855184
"17",1917,0.121212113,0.024637681
"18",1918,0.189189193,-0.007073955
"19",1919,0.022739622,0.054054054
"20",1920,0.177763556,0.031390135
"21",1921,-0.275461444,0.126812754
"22",1922,-0.072929793,0.566557874
"23",1923,-0.00561798,-0.560499179
"24",1924,0.016964512,-0.017555644
"25",1925,-0.027792452,-0.014449505
"26",1926,0,0.061712846
"27",1927,-0.040000004,-0.014035088
"28",1928,-0.005952384,-0.007092199
"29",1929,-0.005988027,-0.046875
"30",1930,-0.078313242,-0.097759674
"31",1931,-0.039197928,0
"32",1932,-0.033809639,-0.010909091
"33",1933,0,0.035
"34",1934,0.00692584,0.010269576
"35",1935,0.027531828,-0.178791615
"36",1936,0.027903621,-0.014792899
"37",1937,0.053194936,0.044407895
"38",1938,-0.025757964,0.010513219
"39",1939,0.122744893,-0.058934789
"40",1940,0.12628439,0.01121008
"41",1941,0.020922009,0
"42",1942,-0.008202731,0
"43",1943,0,0
"44",1944,0.016527454,0.085106383
"45",1945,0.007637697,0
"46",1946,0,0
"47",1947,0.037000902,0
"48",1948,0.049180325,0
"49",1949,0.034926465,0
"50",1950,0.03197159,0.048371429
"51",1951,0.120481929,0
"52",1952,0.063460061,0.01296554
"53",1953,0.010526312,-0.000961786
"54",1954,0.039772723,-0.000161616
"55",1955,0.058287804,0.000166175
"56",1956,0.030440462,0.002384549
"57",1957,0.046421664,-0.005496282
"58",1958,0.018484283,0.001089711
"59",1959,0,-0.003900312
"60",1960,0.018148823,-0.000213936
"61",1961,0.043672012,0.000895132
"62",1962,0.026494359,0.03200806
"63",1963,0.018572822,0
"64",1964,0.047984642,0
"65",1965,0.044871801,0.001921437
"66",1966,0.036809812,-0.000821671
"67",1967,0.02451395,-0.004404276
"68",1968,0.059405938,0.008838143
"69",1969,0.046728974,0.029743175
"70",1970,0.078869046,-0.584853206
"71",1971,0.090344828,0.038761104
"72",1972,0.076533841,0.021728413
"73",1973,0.105757931,0.215836948
"74",1974,0.192340248,-0.05765072
"75",1975,0.25,-0.008759088
"76",1976,0.151351351,0.006038108
"77",1977,0.122065728,0.003101445
"78",1978,0.083682008,0.022518905
"79",1979,0.171814672,0.861890083
"80",1980,0.151565074,-0.126291455
"81",1981,0.120171674,-0.173937611
"82",1982,0.053639847,0.207578304
"83",1983,0.053333333,-0.089588643
"84",1984,0.046029919,-0.03912377
"85",1985,0.056105611,0.04427334
"86",1986,0.0375,-0.017207183
"87",1987,0.037148594,0.11755
"88",1988,0.067763795,0.135754029
"89",1989,0.077062557,-0.035920881
"90",1990,0.093434343,-0.10180472
"91",1991,0.044649731,0.124770198
"92",1992,0.025792189,0.018885003
"93",1993,0.019396552,-0.044678132
"94",1994,0.028893587,-0.060872082
"95",1995,0.032191781,0.111016744
"96",1996,0.02455209,0.091244707
"97",1997,0.03626943,0.061170213
"98",1998,0.0275,0.049878824
"99",1999,0.017639903,-0.017210362
"100",2000,0.029288703,0.072067966
"101",2001,0.006968641,-0.055505175
"102",2002,0.029411765,-0.004742206
"103",2003,0.028011204,0.028482434
"104",2004,0.034877384,0.000784731
"105",2005,0.022116904,0.070254399
"106",2006,0.044307058,0.059710835
"107",2007,0.040453873,0.145128425
"108",2008,0.009483167,0.1521667
"109",2009,0.023954908,-0.038237059
"110",2010,0.047706422,-0.107681763
