"","Date","Inflation","Change"
"1",1903,0.010869561,0.02673147
"2",1907,0.010752684,0.018404908
"3",1909,0.01063832,0.007832898
"4",1910,0.010526312,-0.011124845
"5",1912,0.031249989,-0.012834225
"6",1915,0.220668811,0.022485207
"7",1916,0.222222229,0.006855184
"8",1917,0.121212113,0.024637681
"9",1918,0.189189193,-0.007073955
"10",1919,0.022739622,0.054054054
"11",1920,0.177763556,0.031390135
"12",1924,0.016964512,-0.017555644
"13",1934,0.00692584,0.010269576
"14",1935,0.027531828,-0.178791615
"15",1936,0.027903621,-0.014792899
"16",1937,0.053194936,0.044407895
"17",1939,0.122744893,-0.058934789
"18",1940,0.12628439,0.01121008
"19",1941,0.020922009,0
"20",1944,0.016527454,0.085106383
"21",1945,0.007637697,0
"22",1947,0.037000902,0
"23",1948,0.049180325,0
"24",1949,0.034926465,0
"25",1950,0.03197159,0.048371429
"26",1951,0.120481929,0
"27",1952,0.063460061,0.01296554
"28",1953,0.010526312,-0.000961786
"29",1954,0.039772723,-0.000161616
"30",1955,0.058287804,0.000166175
"31",1956,0.030440462,0.002384549
"32",1957,0.046421664,-0.005496282
"33",1958,0.018484283,0.001089711
"34",1960,0.018148823,-0.000213936
"35",1961,0.043672012,0.000895132
"36",1962,0.026494359,0.03200806
"37",1963,0.018572822,0
"38",1964,0.047984642,0
"39",1965,0.044871801,0.001921437
"40",1966,0.036809812,-0.000821671
"41",1967,0.02451395,-0.004404276
"42",1968,0.059405938,0.008838143
"43",1969,0.046728974,0.029743175
"44",1970,0.078869046,-0.584853206
"45",1971,0.090344828,0.038761104
"46",1972,0.076533841,0.021728413
"47",1973,0.105757931,0.215836948
"48",1974,0.192340248,-0.05765072
"49",1975,0.25,-0.008759088
"50",1976,0.151351351,0.006038108
"51",1977,0.122065728,0.003101445
"52",1978,0.083682008,0.022518905
"53",1979,0.171814672,0.861890083
"54",1980,0.151565074,-0.126291455
"55",1981,0.120171674,-0.173937611
"56",1982,0.053639847,0.207578304
"57",1983,0.053333333,-0.089588643
"58",1984,0.046029919,-0.03912377
"59",1985,0.056105611,0.04427334
"60",1986,0.0375,-0.017207183
"61",1987,0.037148594,0.11755
"62",1988,0.067763795,0.135754029
"63",1989,0.077062557,-0.035920881
"64",1990,0.093434343,-0.10180472
"65",1991,0.044649731,0.124770198
"66",1992,0.025792189,0.018885003
"67",1993,0.019396552,-0.044678132
"68",1994,0.028893587,-0.060872082
"69",1995,0.032191781,0.111016744
"70",1996,0.02455209,0.091244707
"71",1997,0.03626943,0.061170213
"72",1998,0.0275,0.049878824
"73",1999,0.017639903,-0.017210362
"74",2000,0.029288703,0.072067966
"75",2001,0.006968641,-0.055505175
"76",2002,0.029411765,-0.004742206
"77",2003,0.028011204,0.028482434
"78",2004,0.034877384,0.000784731
"79",2005,0.022116904,0.070254399
"80",2006,0.044307058,0.059710835
"81",2007,0.040453873,0.145128425
"82",2008,0.009483167,0.1521667
"83",2009,0.023954908,-0.038237059
"84",2010,0.047706422,-0.107681763
